1904,variation,,"Verve Dry Fit - Blue -White",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-1-4,,,,,,1,size,,,1,,,,,,,,,,,,,,,,,,,color,"Blue -White",,1,
1905,variable,M-TSH-2-1,"Verve Dry Fit",1,0,visible,"Kwench Mens Half Sleeve Tshirt","Simple, unique design is what makes this t-shirt great. Reliable and pliable, the t-shirt’s material allows a close and comfortable fit. Physique sculpted fit keeps you comfortably covered, with sleek, multi colour design.",,,taxable,,1,15,0,0,,,,,1,,,,"MEN, MEN > T-shirt &amp; Tops",,,"http://kwench.prangi.de/wp-content/uploads/2017/01/6a.jpg, http://kwench.prangi.de/wp-content/uploads/2017/01/6d.jpg, http://kwench.prangi.de/wp-content/uploads/2017/01/6b.jpg, http://kwench.prangi.de/wp-content/uploads/2017/01/6c.jpg",,,,,,,,,5,size,"L, M, XL, XXL",1,1,M,"•	Ultra-tight, body fit
•	Kwench Vita® fabric, with all the benefits breathability, moisture control & Perfect fit, very comfortable to be worn all day
•	UPF 50  to protect your skin from the Sun's Ultraviolet rays
•	Extreme Elasticity to enhance shaping power & comfort and guarantee maximum freedom
•	‘Hydra-Span’ System wicks sweat away from the body
•	Anti-odour technology prevents the growth of odour-causing microbes
•	Kwench Power Logo on chest panel
•	Body: 190g Polyamide/Lycra",setting,label,no,default,0,,29.99,29.99,1907,1907,29.99,29.99,1907,1907,0,,color,"Dark Blue - Blue - White, Sporting Red - Black - White, White-Sky Blue",1,1,"White-Sky Blue"
1907,variation,,"Verve Dry Fit - White-Sky Blue",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-2-1,,,,,,1,size,,,1,,,,,,,,,,,,,,,,,,,color,"White-Sky Blue",,1,
1908,variation,,"Verve Dry Fit - Sporting Red - Black - White",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-2-1,,,,,,1,size,,,1,,,,,,,,,,,,,,,,,,,color,"Sporting Red - Black - White",,1,
1909,variation,,"Verve Dry Fit - Dark Blue - Blue - White",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-2-1,,,,,,1,size,,,1,,,,,,,,,,,,,,,,,,,color,"Dark Blue - Blue - White",,1,
1910,variation,,"Verve Dry Fit - XXL",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-2-1,,,,,,1,size,XXL,,1,,,,,,,,,,,,,,,,,,,color,,,1,
1911,variation,,"Verve Dry Fit - XL",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-2-1,,,,,,1,size,XL,,1,,,,,,,,,,,,,,,,,,,color,,,1,
1912,variation,,"Verve Dry Fit - L",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-2-1,,,,,,1,size,L,,1,,,,,,,,,,,,,,,,,,,color,,,1,
1913,variation,,"Verve Dry Fit - M",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,29.99,,,,,,,M-TSH-2-1,,,,,,1,size,M,,1,,,,,,,,,,,,,,,,,,,color,,,1,
1921,variation,,,1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,,24.99,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
